size,n_groups,max_group_size,formula,has_margin,has_answer_stable,tune_f1,tune_calls,eval_f1,eval_em,eval_calls,eval_triggered,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,diff_f1_vs_famA,ci_famA_lo,ci_famA_hi,diff_f1_vs_k3,ci_k3_lo,ci_k3_hi
5,4,2,as|gap&mrg|ovl|tzi,1,1,39.37777777777778,1.46,43.00641025641026,40.0,1.4533333333333334,300,-8.901370851370851,-12.709074074074072,-5.054280904280904,-1.15,-14.5489898989899,-19.116279461279458,-9.787487373737374,-9.811471861471862,-14.534891173641174,-5.030929533429536
6,4,2,as&cnf|gap&mrg|ovl|tzi,1,1,39.37777777777778,1.46,43.00641025641026,40.0,1.4566666666666668,300,-8.901370851370851,-12.709074074074072,-5.054280904280904,-1.1466666666666667,-14.5489898989899,-19.116279461279458,-9.787487373737374,-9.811471861471862,-14.534891173641174,-5.030929533429536
6,4,2,as|cnf&ovl|gap&mrg|tzi,1,1,38.37777777777778,1.49,43.00641025641026,40.0,1.46,300,-8.901370851370851,-12.709074074074072,-5.054280904280904,-1.1433333333333333,-14.5489898989899,-19.116279461279458,-9.787487373737374,-9.811471861471862,-14.534891173641174,-5.030929533429536
5,4,2,as&mrg|gap|ovl|tzi,1,1,38.37777777777778,1.5,43.00641025641026,40.0,1.4633333333333334,300,-8.901370851370851,-12.759591149591145,-4.655346921596922,-1.14,-14.5489898989899,-19.18892255892256,-9.499785353535355,-9.811471861471862,-14.534870129870125,-4.906770081770082
6,4,3,as&cnf&mrg|gap|ovl|tzi,1,1,38.37777777777778,1.5,43.00641025641026,40.0,1.4633333333333334,300,-8.901370851370851,-12.759591149591145,-4.655346921596922,-1.14,-14.5489898989899,-19.18892255892256,-9.499785353535355,-9.811471861471862,-14.534870129870125,-4.906770081770082
6,4,2,as&mrg|cnf&ovl|gap|tzi,1,1,37.37777777777778,1.53,43.00641025641026,40.0,1.4733333333333334,300,-8.901370851370851,-12.759591149591145,-4.655346921596922,-1.13,-14.5489898989899,-19.18892255892256,-9.499785353535355,-9.811471861471862,-14.534870129870125,-4.906770081770082
5,4,2,as|cnf&mrg|gap|tzi,1,1,38.044444444444444,1.53,42.891330891330895,40.0,1.52,298,-9.016450216450217,-12.74241943241943,-5.124487734487737,-1.0833333333333333,-14.664069264069266,-19.668122895622894,-9.609137205387206,-9.926551226551226,-14.649949494949494,-5.09485088985089
5,4,2,as|gap|mrg&ovl|tzi,1,1,38.044444444444444,1.54,42.891330891330895,40.0,1.5333333333333334,298,-9.016450216450217,-12.74241943241943,-5.124487734487737,-1.07,-14.664069264069266,-19.668122895622894,-9.609137205387206,-9.926551226551226,-14.649949494949494,-5.09485088985089
6,4,3,as|cnf&mrg&ovl|gap|tzi,1,1,38.044444444444444,1.54,42.891330891330895,40.0,1.5333333333333334,298,-9.016450216450217,-12.74241943241943,-5.124487734487737,-1.07,-14.664069264069266,-19.668122895622894,-9.609137205387206,-9.926551226551226,-14.649949494949494,-5.09485088985089
6,4,2,as&cnf|gap|mrg&ovl|tzi,1,1,38.044444444444444,1.54,42.891330891330895,40.0,1.54,298,-9.016450216450217,-12.74241943241943,-5.124487734487737,-1.0633333333333332,-14.664069264069266,-19.668122895622894,-9.609137205387206,-9.926551226551226,-14.649949494949494,-5.09485088985089
3,3,1,as|gap|tzi,0,1,38.044444444444444,1.55,42.891330891330895,40.0,1.59,298,-9.016450216450217,-12.74241943241943,-5.124487734487737,-1.0133333333333334,-14.664069264069266,-19.668122895622894,-9.609137205387206,-9.926551226551226,-14.649949494949494,-5.09485088985089
4,3,2,as&cnf|gap|tzi,0,1,38.044444444444444,1.55,42.891330891330895,40.0,1.5966666666666667,298,-9.016450216450217,-12.74241943241943,-5.124487734487737,-1.0066666666666666,-14.664069264069266,-19.668122895622894,-9.609137205387206,-9.926551226551226,-14.649949494949494,-5.09485088985089
5,4,2,as|cnf&mrg|ovl|tzi,1,1,39.37777777777778,1.49,42.80641025641026,40.0,1.4566666666666668,300,-9.10137085137085,-13.006528379028381,-5.388508297258298,-1.1466666666666667,-14.748989898989901,-19.27578282828283,-10.002045454545454,-10.011471861471861,-14.878342352092352,-5.2291089466089495
5,4,2,as|cnf&gap|ovl|tzi,0,1,39.37777777777778,1.5,42.80641025641026,40.0,1.4633333333333334,300,-9.10137085137085,-13.006528379028381,-5.388508297258298,-1.14,-14.748989898989901,-19.27578282828283,-10.002045454545454,-10.011471861471861,-14.878342352092352,-5.2291089466089495
6,4,3,as|cnf&gap&mrg|ovl|tzi,1,1,39.37777777777778,1.5,42.80641025641026,40.0,1.47,300,-9.10137085137085,-13.006528379028381,-5.388508297258298,-1.1333333333333333,-14.748989898989901,-19.27578282828283,-10.002045454545454,-10.011471861471861,-14.878342352092352,-5.2291089466089495
3,3,1,as|ovl|tzi,0,1,39.37777777777778,1.5,42.80641025641026,40.0,1.4733333333333334,300,-9.10137085137085,-13.006528379028381,-5.388508297258298,-1.13,-14.748989898989901,-19.27578282828283,-10.002045454545454,-10.011471861471861,-14.878342352092352,-5.2291089466089495
4,3,2,as&cnf|ovl|tzi,0,1,39.37777777777778,1.5,42.80641025641026,40.0,1.4766666666666666,300,-9.10137085137085,-13.006528379028381,-5.388508297258298,-1.1266666666666667,-14.748989898989901,-19.27578282828283,-10.002045454545454,-10.011471861471861,-14.878342352092352,-5.2291089466089495
4,3,2,as|cnf&ovl|tzi,0,1,38.37777777777778,1.53,42.80641025641026,40.0,1.48,300,-9.10137085137085,-13.006528379028381,-5.388508297258298,-1.1233333333333333,-14.748989898989901,-19.27578282828283,-10.002045454545454,-10.011471861471861,-14.878342352092352,-5.2291089466089495
5,3,2,as&ovl|gap&tzi|mrg,1,1,43.37777777777778,1.72,42.69032079032079,39.0,1.64,295,-9.217460317460317,-13.332301587301586,-5.616904761904761,-0.9633333333333334,-14.865079365079364,-19.60239898989899,-10.133650793650796,-10.127561327561327,-14.817830687830686,-5.514351851851854
6,3,3,as&cnf&ovl|gap&tzi|mrg,1,1,43.37777777777778,1.72,42.69032079032079,39.0,1.6433333333333333,295,-9.217460317460317,-13.332301587301586,-5.616904761904761,-0.96,-14.865079365079364,-19.60239898989899,-10.133650793650796,-10.127561327561327,-14.817830687830686,-5.514351851851854
6,5,2,as|cnf&mrg|gap|ovl|tzi,1,1,38.37777777777778,1.43,42.67307692307693,39.666666666666664,1.3966666666666667,300,-9.234704184704185,-13.291793530543531,-5.088864237614239,-1.2066666666666668,-14.882323232323232,-19.59844696969697,-9.832773569023571,-10.144805194805196,-14.858119889369888,-5.301963083213083
4,4,1,as|gap|ovl|tzi,0,1,38.37777777777778,1.44,42.67307692307693,39.666666666666664,1.41,300,-9.234704184704185,-13.291793530543531,-5.088864237614239,-1.1933333333333334,-14.882323232323232,-19.59844696969697,-9.832773569023571,-10.144805194805196,-14.858119889369888,-5.301963083213083
5,4,2,as&cnf|gap|ovl|tzi,0,1,38.37777777777778,1.44,42.67307692307693,39.666666666666664,1.4133333333333333,300,-9.234704184704185,-13.291793530543531,-5.088864237614239,-1.19,-14.882323232323232,-19.59844696969697,-9.832773569023571,-10.144805194805196,-14.858119889369888,-5.301963083213083
5,4,2,as|cnf&ovl|gap|tzi,0,1,37.37777777777778,1.47,42.67307692307693,39.666666666666664,1.4166666666666667,300,-9.234704184704185,-13.291793530543531,-5.088864237614239,-1.1866666666666668,-14.882323232323232,-19.59844696969697,-9.832773569023571,-10.144805194805196,-14.858119889369888,-5.301963083213083
4,3,2,cnf&gap|mrg|tzi,1,0,42.37777777777778,1.75,42.62466422466423,39.33333333333333,1.72,289,-9.283116883116884,-13.812295574795574,-5.346602934102934,-0.8833333333333333,-14.930735930735931,-19.58298941798942,-10.243882876382877,-10.193217893217895,-15.316007094757095,-5.355486411736413
4,3,2,as&gap|mrg|tzi,1,1,42.37777777777778,1.76,42.62466422466423,39.33333333333333,1.74,289,-9.283116883116884,-13.812295574795574,-5.346602934102934,-0.8633333333333333,-14.930735930735931,-19.58298941798942,-10.243882876382877,-10.193217893217895,-15.316007094757095,-5.355486411736413
4,3,2,gap&ovl|mrg|tzi,1,0,42.37777777777778,1.75,42.62466422466423,39.33333333333333,1.74,289,-9.283116883116884,-13.812295574795574,-5.346602934102934,-0.8633333333333333,-14.930735930735931,-19.58298941798942,-10.243882876382877,-10.193217893217895,-15.316007094757095,-5.355486411736413
5,3,3,as&cnf&gap|mrg|tzi,1,1,42.37777777777778,1.76,42.62466422466423,39.33333333333333,1.74,289,-9.283116883116884,-13.812295574795574,-5.346602934102934,-0.8633333333333333,-14.930735930735931,-19.58298941798942,-10.243882876382877,-10.193217893217895,-15.316007094757095,-5.355486411736413
5,3,3,cnf&gap&ovl|mrg|tzi,1,0,42.37777777777778,1.75,42.62466422466423,39.33333333333333,1.74,289,-9.283116883116884,-13.812295574795574,-5.346602934102934,-0.8633333333333333,-14.930735930735931,-19.58298941798942,-10.243882876382877,-10.193217893217895,-15.316007094757095,-5.355486411736413
5,3,3,as&gap&ovl|mrg|tzi,1,1,42.37777777777778,1.76,42.62466422466423,39.33333333333333,1.76,288,-9.283116883116884,-13.812295574795574,-5.346602934102934,-0.8433333333333334,-14.930735930735931,-19.58298941798942,-10.243882876382877,-10.193217893217895,-15.316007094757095,-5.355486411736413
6,3,4,as&cnf&gap&ovl|mrg|tzi,1,1,42.37777777777778,1.76,42.62466422466423,39.33333333333333,1.76,288,-9.283116883116884,-13.812295574795574,-5.346602934102934,-0.8433333333333334,-14.930735930735931,-19.58298941798942,-10.243882876382877,-10.193217893217895,-15.316007094757095,-5.355486411736413
2,2,1,mrg|tzi,1,0,41.37777777777778,1.78,42.62466422466423,39.33333333333333,1.79,287,-9.283116883116884,-13.812295574795574,-5.346602934102934,-0.8133333333333334,-14.930735930735931,-19.58298941798942,-10.243882876382877,-10.193217893217895,-15.316007094757095,-5.355486411736413
6,4,2,as&ovl|cnf&tzi|gap|mrg,1,1,40.37777777777778,1.6,42.51355311355312,38.666666666666664,1.52,297,-9.394227994227993,-13.705761183261181,-5.596761664261665,-1.0833333333333333,-15.041847041847042,-19.88267376142376,-10.021139971139972,-10.304329004329006,-15.005454545454544,-5.5567340067340085
4,3,2,as&ovl|gap|mrg,1,1,42.37777777777778,1.69,42.35698745698746,38.666666666666664,1.56,296,-9.55079365079365,-13.84488095238095,-5.711838624338625,-1.0433333333333332,-15.198412698412698,-20.042290764790764,-10.252420033670035,-10.460894660894661,-15.166616161616162,-5.694943482443484
5,3,3,as&cnf&ovl|gap|mrg,1,1,42.37777777777778,1.69,42.35698745698746,38.666666666666664,1.5633333333333332,296,-9.55079365079365,-13.84488095238095,-5.711838624338625,-1.04,-15.198412698412698,-20.042290764790764,-10.252420033670035,-10.460894660894661,-15.166616161616162,-5.694943482443484
5,4,2,cnf|gap&mrg|ovl|tzi,1,0,39.37777777777778,1.41,42.33974358974359,39.33333333333333,1.4033333333333333,300,-9.568037518037517,-13.624188912938914,-5.73707130832131,-1.2,-15.215656565656566,-19.752499999999998,-10.309612794612796,-10.478138528138528,-15.169651875901874,-5.6143314093314105
6,5,2,as|cnf|gap&mrg|ovl|tzi,1,1,39.37777777777778,1.41,42.33974358974359,39.33333333333333,1.4033333333333333,300,-9.568037518037517,-13.624188912938914,-5.73707130832131,-1.2,-15.215656565656566,-19.752499999999998,-10.309612794612796,-10.478138528138528,-15.169651875901874,-5.6143314093314105
5,4,2,as|cnf|gap&mrg|tzi,1,1,38.37777777777778,1.43,42.33974358974359,39.33333333333333,1.4066666666666667,300,-9.568037518037517,-13.624188912938914,-5.73707130832131,-1.1966666666666668,-15.215656565656566,-19.752499999999998,-10.309612794612796,-10.478138528138528,-15.169651875901874,-5.6143314093314105
6,4,2,as&ovl|cnf|gap&mrg|tzi,1,1,38.37777777777778,1.43,42.33974358974359,39.33333333333333,1.4066666666666667,300,-9.568037518037517,-13.624188912938914,-5.73707130832131,-1.1966666666666668,-15.215656565656566,-19.752499999999998,-10.309612794612796,-10.478138528138528,-15.169651875901874,-5.6143314093314105
4,3,2,cnf|gap&mrg|tzi,1,0,38.37777777777778,1.43,42.33974358974359,39.33333333333333,1.41,300,-9.568037518037517,-13.624188912938914,-5.73707130832131,-1.1933333333333334,-15.215656565656566,-19.752499999999998,-10.309612794612796,-10.478138528138528,-15.169651875901874,-5.6143314093314105
4,3,2,gap&tzi|mrg|ovl,1,0,43.37777777777778,1.53,42.29529914529914,38.333333333333336,1.4633333333333334,300,-9.612481962481963,-13.853796296296295,-5.705146705146704,-1.14,-15.26010101010101,-20.099175084175087,-10.181279461279463,-10.522582972582972,-15.34844336219336,-6.102748316498322
5,3,2,cnf&ovl|gap&tzi|mrg,1,0,42.37777777777778,1.56,42.29529914529914,38.333333333333336,1.4733333333333334,300,-9.612481962481963,-13.853796296296295,-5.705146705146704,-1.13,-15.26010101010101,-20.099175084175087,-10.181279461279463,-10.522582972582972,-15.34844336219336,-6.102748316498322
3,3,1,gap|mrg|tzi,1,0,41.37777777777778,1.73,42.291330891330894,39.0,1.68,289,-9.616450216450218,-14.151655242905242,-5.547251683501684,-0.9233333333333333,-15.264069264069263,-20.070642135642135,-10.349406565656565,-10.526551226551227,-15.589968133718132,-5.741791726791732
3,3,1,cnf|ovl|tzi,0,0,39.37777777777778,1.45,42.139743589743595,39.33333333333333,1.4166666666666667,300,-9.768037518037517,-13.82905423280423,-5.986550625300627,-1.1866666666666668,-15.415656565656565,-19.91209175084175,-10.506165824915826,-10.678138528138529,-15.47306277056277,-5.904678932178933
