size,subset,tune_f1,tune_calls,eval_f1,eval_calls,eval_em,diff_f1_vs_k3,diff_calls_vs_k3,f1_per_call,f1_minus_05calls
3,answer_stable_f1+answer_in_evidence+overlap_signal,58.39718614718614,1.71,53.931225256225254,1.69,43.333333333333336,-4.437301587301583,-1.31,31.91196760723388,53.086225256225255
4,answer_stable+answer_stable_f1+answer_in_evidence+overlap_signal,58.39718614718614,1.71,53.931225256225254,1.69,43.333333333333336,-4.437301587301583,-1.31,31.91196760723388,53.086225256225255
3,answer_stable+answer_in_evidence+overlap_signal,58.39718614718614,1.74,53.931225256225254,1.6966666666666668,43.333333333333336,-4.437301587301583,-1.3033333333333332,31.786576771841993,53.08289192289192
4,answer_stable_seq+answer_in_evidence+calibrated_conf+overlap_signal,58.39718614718614,1.65,53.709003034003025,1.6566666666666667,43.333333333333336,-4.659523809523812,-1.3433333333333333,32.41992134849277,52.88066970066969
5,answer_stable+answer_stable_seq+answer_in_evidence+calibrated_conf+overlap_signal,58.39718614718614,1.65,53.709003034003025,1.6566666666666667,43.333333333333336,-4.659523809523812,-1.3433333333333333,32.41992134849277,52.88066970066969
5,answer_stable_f1+answer_stable_seq+answer_in_evidence+calibrated_conf+overlap_signal,58.39718614718614,1.65,53.709003034003025,1.6566666666666667,43.333333333333336,-4.659523809523812,-1.3433333333333333,32.41992134849277,52.88066970066969
6,answer_stable+answer_stable_f1+answer_stable_seq+answer_in_evidence+calibrated_conf+overlap_signal,58.39718614718614,1.65,53.709003034003025,1.6566666666666667,43.333333333333336,-4.659523809523812,-1.3433333333333333,32.41992134849277,52.88066970066969
3,answer_stable_seq+answer_in_evidence+overlap_signal,58.39718614718614,1.67,53.709003034003025,1.6633333333333333,43.333333333333336,-4.659523809523812,-1.3366666666666667,32.28998178396976,52.87733636733636
4,answer_stable+answer_stable_seq+answer_in_evidence+overlap_signal,58.39718614718614,1.67,53.709003034003025,1.6633333333333333,43.333333333333336,-4.659523809523812,-1.3366666666666667,32.28998178396976,52.87733636733636
4,answer_stable_f1+answer_stable_seq+answer_in_evidence+overlap_signal,58.39718614718614,1.67,53.709003034003025,1.6633333333333333,43.333333333333336,-4.659523809523812,-1.3366666666666667,32.28998178396976,52.87733636733636
5,answer_stable+answer_stable_f1+answer_stable_seq+answer_in_evidence+overlap_signal,58.39718614718614,1.67,53.709003034003025,1.6633333333333333,43.333333333333336,-4.659523809523812,-1.3366666666666667,32.28998178396976,52.87733636733636
2,calibrated_conf+top_score_z_intra,54.080519480519484,1.81,52.233959558959555,1.8066666666666666,42.0,-6.134567284567282,-1.1933333333333334,28.91178573374145,51.33062622562622
1,top_score_z_intra,53.74718614718614,2.84,52.12284844784845,2.5733333333333333,41.66666666666667,-6.2456783956783894,-0.42666666666666675,20.25499292014836,50.83618178118178
2,answer_stable+top_score_z_intra,49.080519480519484,1.68,50.90618178118178,1.6433333333333333,40.666666666666664,-7.462345062345058,-1.3566666666666667,30.97739256461366,50.08451511451511
2,answer_stable_f1+top_score_z_intra,49.080519480519484,1.64,50.461737336737336,1.6066666666666667,40.0,-7.906789506789501,-1.3933333333333333,31.40772033406888,49.658404003404
3,answer_stable+answer_stable_f1+top_score_z_intra,49.080519480519484,1.64,50.461737336737336,1.6066666666666667,40.0,-7.906789506789501,-1.3933333333333333,31.40772033406888,49.658404003404
2,overlap_signal+top_score_z_intra,51.080519480519484,1.79,50.32284844784844,1.8033333333333332,40.0,-8.045678395678394,-1.1966666666666668,27.905461246496365,49.42118178118178
3,answer_stable+calibrated_conf+top_score_z_intra,49.080519480519484,1.53,50.183959558959565,1.48,40.33333333333333,-8.184567284567272,-1.52,33.908080783080784,49.44395955895956
3,answer_in_evidence+calibrated_conf+top_score_z_intra,54.080519480519484,1.6,50.06729289229289,1.6366666666666667,39.666666666666664,-8.301233951233947,-1.3633333333333333,30.591013987144333,49.248959558959555
2,answer_in_evidence+top_score_z_intra,54.080519480519484,1.68,50.06729289229289,1.7566666666666666,39.666666666666664,-8.301233951233947,-1.2433333333333334,28.501305251779634,49.18895955895956
3,calibrated_conf+overlap_signal+top_score_z_intra,51.080519480519484,1.59,49.933959558959565,1.5666666666666667,40.0,-8.434567284567272,-1.4333333333333333,31.872740144016742,49.15062622562623
