t_conf,t_margin,t_overlap,em,f1,avg_calls,n_questions,n_stopped_early
0.55,0.525,0.15,56.99999999999999,68.51861471861471,1.67,100,100
0.55,0.525,0.2,56.99999999999999,68.51861471861471,1.67,100,100
0.55,0.525,0.25,56.99999999999999,68.51861471861471,1.67,100,100
0.55,0.525,0.3,56.99999999999999,68.51861471861471,1.67,100,100
0.55,0.525,0.35,56.99999999999999,68.51861471861471,1.67,100,100
0.55,0.525,0.4,56.99999999999999,68.51861471861471,1.67,100,100
0.55,0.6,0.05,56.99999999999999,68.51861471861471,1.66,100,100
0.55,0.6,0.1,56.99999999999999,68.51861471861471,1.66,100,100
0.55,0.6,0.15,56.99999999999999,68.51861471861471,1.67,100,100
0.55,0.6,0.2,56.99999999999999,68.51861471861471,1.67,100,100
0.55,0.6,0.25,56.99999999999999,68.51861471861471,1.67,100,100
0.55,0.6,0.3,56.99999999999999,68.51861471861471,1.67,100,100
0.55,0.6,0.35,56.99999999999999,68.51861471861471,1.67,100,100
0.55,0.6,0.4,56.99999999999999,68.51861471861471,1.67,100,100
0.55,0.675,0.05,56.00000000000001,67.51861471861471,1.83,100,100
0.55,0.675,0.1,56.00000000000001,67.51861471861471,1.84,100,100
0.55,0.675,0.15,56.00000000000001,67.51861471861471,1.85,100,100
0.55,0.675,0.2,56.00000000000001,67.51861471861471,1.85,100,100
0.55,0.675,0.25,56.00000000000001,67.51861471861471,1.85,100,100
0.55,0.675,0.3,56.00000000000001,67.51861471861471,1.85,100,100
0.55,0.675,0.35,56.00000000000001,67.51861471861471,1.85,100,100
0.55,0.675,0.4,56.00000000000001,67.51861471861471,1.85,100,100
0.55,0.75,0.05,56.00000000000001,67.51861471861471,1.98,100,100
0.55,0.75,0.1,56.00000000000001,67.51861471861471,1.99,100,100
0.55,0.75,0.15,56.00000000000001,67.51861471861471,2.0,100,100
0.55,0.75,0.2,56.00000000000001,67.51861471861471,2.0,100,100
0.55,0.75,0.25,56.00000000000001,67.51861471861471,2.0,100,100
0.55,0.75,0.3,56.00000000000001,67.51861471861471,2.0,100,100
0.55,0.75,0.35,56.00000000000001,67.51861471861471,2.0,100,100
0.55,0.75,0.4,56.00000000000001,67.51861471861471,2.0,100,100
0.55,0.825,0.05,56.00000000000001,67.51861471861471,1.98,100,100
0.55,0.825,0.1,56.00000000000001,67.51861471861471,1.99,100,100
0.55,0.825,0.15,56.00000000000001,67.51861471861471,2.0,100,100
0.55,0.825,0.2,56.00000000000001,67.51861471861471,2.0,100,100
0.55,0.825,0.25,56.00000000000001,67.51861471861471,2.0,100,100
0.55,0.825,0.3,56.00000000000001,67.51861471861471,2.0,100,100
0.55,0.825,0.35,56.00000000000001,67.51861471861471,2.0,100,100
0.55,0.825,0.4,56.00000000000001,67.51861471861471,2.0,100,100
0.6,0.3,0.05,50.0,60.70070028011204,1.26,100,100
0.6,0.3,0.1,52.0,62.700700280112045,1.28,100,100
0.6,0.3,0.15,52.0,62.700700280112045,1.3,100,100
0.6,0.3,0.2,52.0,62.700700280112045,1.32,100,100
0.6,0.3,0.25,52.0,62.87927170868347,1.36,100,100
0.6,0.3,0.3,52.0,62.87927170868347,1.36,100,100
0.6,0.3,0.35,52.0,62.87927170868347,1.36,100,100
0.6,0.3,0.4,52.0,62.87927170868347,1.36,100,100
0.6,0.375,0.05,56.00000000000001,67.25194805194805,1.49,100,100
0.6,0.375,0.1,57.99999999999999,70.19312452253628,1.53,100,100
0.6,0.375,0.15,56.99999999999999,69.85979118920295,1.58,100,100
0.6,0.375,0.2,56.99999999999999,69.85979118920295,1.6,100,100
0.6,0.375,0.25,56.99999999999999,70.03836261777438,1.65,100,100
0.6,0.375,0.3,56.99999999999999,70.03836261777438,1.65,100,100
0.6,0.375,0.35,56.99999999999999,70.03836261777438,1.65,100,100
0.6,0.375,0.4,56.99999999999999,70.03836261777438,1.67,100,100
0.6,0.45,0.05,56.99999999999999,68.51861471861471,1.63,100,100
0.6,0.45,0.1,59.0,71.45979118920295,1.77,100,100
0.6,0.45,0.15,60.0,72.45979118920295,1.98,100,100
0.6,0.45,0.2,59.0,71.45979118920295,2.11,100,100
0.6,0.45,0.25,59.0,71.63836261777438,2.22,100,100
0.6,0.45,0.3,57.99999999999999,71.30502928444105,2.23,100,100
0.6,0.45,0.35,57.99999999999999,71.30502928444105,2.23,100,100
