size,subset,tune_f1,tune_calls,eval_f1,eval_calls,eval_em,diff_f1_vs_k3,diff_calls_vs_k3,f1_per_call,f1_minus_05calls
3,answer_in_evidence+overlap_signal+top_score_z_intra,52.080519480519484,1.43,48.10062622562623,1.4333333333333333,38.0,-10.267900617900608,-1.5666666666666667,33.55857643648341,47.38395955895956
3,answer_stable+top_score_z_intra+gap,48.830519480519484,1.58,48.03713416213416,1.4833333333333334,38.666666666666664,-10.331392681392678,-1.5166666666666666,32.384584828405046,47.29546749546749
2,overlap_signal+gap,48.830519480519484,1.71,47.96173733673733,1.6766666666666667,38.333333333333336,-10.406789506789508,-1.3233333333333333,28.605409942388068,47.123404003404
3,overlap_signal+top_score_z_intra+gap,49.830519480519484,1.64,47.78713416213416,1.6266666666666667,38.333333333333336,-10.581392681392678,-1.3733333333333333,29.377336575082474,46.973800828800826
3,calibrated_conf+overlap_signal+gap,48.830519480519484,1.54,47.461737336737336,1.4766666666666666,38.0,-10.9067895067895,-1.5233333333333334,32.14113137928037,46.723404003404
3,answer_stable+calibrated_conf+gap,48.830519480519484,1.49,47.378404003404,1.3966666666666667,38.0,-10.990122840122837,-1.6033333333333333,33.92248496663771,46.68007067007067
5,answer_stable+answer_in_evidence+calibrated_conf+overlap_signal+top_score_z_intra,49.080519480519484,1.31,47.35062622562623,1.3066666666666666,37.333333333333336,-11.017900617900608,-1.6933333333333334,36.237724152264974,46.69729289229289
4,answer_stable+answer_in_evidence+overlap_signal+top_score_z_intra,49.080519480519484,1.31,47.35062622562623,1.31,37.333333333333336,-11.017900617900608,-1.69,36.145516202768114,46.69562622562623
4,calibrated_conf+overlap_signal+top_score_z_intra+gap,49.830519480519484,1.5,47.28713416213416,1.4466666666666668,38.0,-11.081392681392678,-1.5533333333333332,32.68695909824942,46.56380082880082
3,answer_stable+overlap_signal+gap,47.830519480519484,1.49,47.211737336737336,1.4233333333333333,37.666666666666664,-11.1567895067895,-1.5766666666666667,33.16983887826979,46.50007067007067
4,answer_stable+calibrated_conf+top_score_z_intra+gap,48.830519480519484,1.44,47.20380082880083,1.37,38.0,-11.164726014726007,-1.63,34.455329072117394,46.51880082880083
3,answer_in_evidence+calibrated_conf+gap,51.830519480519484,1.59,47.03951511451512,1.5233333333333334,37.333333333333336,-11.329011729011718,-1.4766666666666666,30.879331585020864,46.277848447848456
2,answer_in_evidence+gap,50.830519480519484,1.66,47.03951511451512,1.62,37.333333333333336,-11.329011729011718,-1.38,29.03673772500933,46.22951511451512
4,answer_stable+overlap_signal+top_score_z_intra+gap,48.830519480519484,1.45,47.03713416213416,1.39,37.666666666666664,-11.331392681392678,-1.61,33.83966486484472,46.34213416213416
4,answer_in_evidence+calibrated_conf+top_score_z_intra+gap,51.830519480519484,1.55,46.86491193991195,1.4966666666666666,37.333333333333336,-11.503614903614888,-1.5033333333333334,31.312858757179477,46.116578606578614
3,answer_in_evidence+top_score_z_intra+gap,51.830519480519484,1.61,46.86491193991195,1.5933333333333333,37.333333333333336,-11.503614903614888,-1.4066666666666667,29.413124648480302,46.06824527324528
4,answer_stable+calibrated_conf+overlap_signal+gap,47.830519480519484,1.46,46.378404003404,1.3633333333333333,37.0,-11.990122840122837,-1.6366666666666667,34.01838924455061,45.696737336737336
5,answer_stable+calibrated_conf+overlap_signal+top_score_z_intra+gap,48.830519480519484,1.42,46.20380082880083,1.3366666666666667,37.0,-12.164726014726007,-1.6633333333333333,34.56643453526247,45.53546749546749
4,answer_in_evidence+calibrated_conf+overlap_signal+gap,48.830519480519484,1.38,45.739515114515115,1.34,36.333333333333336,-12.629011729011722,-1.66,34.133966503369486,45.06951511451511
3,answer_in_evidence+overlap_signal+gap,48.830519480519484,1.39,45.739515114515115,1.3566666666666667,36.333333333333336,-12.629011729011722,-1.6433333333333333,33.714630305539394,45.06118178118178
4,answer_stable+answer_in_evidence+calibrated_conf+gap,47.830519480519484,1.32,45.65618178118178,1.28,36.333333333333336,-12.712345062345058,-1.72,35.66889201654826,45.01618178118178
3,answer_stable+answer_in_evidence+gap,47.830519480519484,1.32,45.65618178118178,1.3066666666666666,36.333333333333336,-12.712345062345058,-1.6933333333333334,34.94095544478198,45.00284844784844
