t_margin,t_overlap,em,f1,avg_calls,n_questions,n_stopped_early
0.45,0.075,57.99999999999999,69.51861471861471,1.66,100,100
0.45,0.1,59.0,71.45979118920295,1.78,100,100
0.45,0.125,60.0,72.45979118920295,1.91,100,99
0.45,0.15,60.0,72.45979118920295,2.03,100,98
0.45,0.175,60.0,72.45979118920296,2.14,100,97
0.45,0.2,59.0,71.45979118920296,2.22,100,97
0.45,0.225,60.0,71.79312452253629,2.3,100,94
0.45,0.25,60.0,71.97169595110772,2.38,100,91
0.45,0.275,60.0,71.97169595110772,2.4,100,91
0.45,0.3,60.0,71.97169595110772,2.4,100,91
0.45,0.325,60.0,71.97169595110772,2.4,100,91
0.45,0.35,60.0,71.97169595110772,2.4,100,91
0.45,0.375,60.0,71.97169595110772,2.43,100,90
0.45,0.4,60.0,71.97169595110772,2.43,100,90
0.475,0.05,56.99999999999999,68.51861471861471,1.63,100,100
0.475,0.075,57.99999999999999,69.51861471861471,1.66,100,100
0.475,0.1,59.0,71.45979118920295,1.78,100,99
0.475,0.125,60.0,72.45979118920296,1.91,100,97
0.475,0.15,60.0,72.45979118920296,2.03,100,95
0.475,0.175,60.0,72.45979118920296,2.14,100,91
0.475,0.2,59.0,71.45979118920296,2.22,100,91
0.475,0.225,60.0,71.79312452253629,2.3,100,88
0.475,0.25,60.0,71.97169595110772,2.38,100,85
0.475,0.275,60.0,71.97169595110772,2.4,100,84
0.475,0.3,60.0,71.97169595110772,2.4,100,84
0.475,0.325,60.0,71.97169595110772,2.4,100,84
0.475,0.35,60.0,71.97169595110772,2.4,100,84
0.475,0.375,60.0,71.97169595110772,2.43,100,83
0.475,0.4,60.0,71.97169595110772,2.43,100,83
0.5,0.05,56.99999999999999,68.51861471861471,1.67,100,100
0.5,0.075,57.99999999999999,69.51861471861471,1.7,100,100
0.5,0.1,59.0,71.45979118920295,1.82,100,99
0.5,0.125,60.0,72.45979118920296,1.95,100,97
0.5,0.15,60.0,72.45979118920296,2.07,100,95
0.5,0.175,60.0,72.45979118920296,2.18,100,91
0.5,0.2,59.0,71.45979118920296,2.26,100,91
0.5,0.225,60.0,71.79312452253629,2.34,100,88
0.5,0.25,60.0,71.97169595110772,2.42,100,85
0.5,0.275,60.0,71.97169595110772,2.44,100,84
0.5,0.3,60.0,71.97169595110772,2.44,100,84
0.5,0.325,60.0,71.97169595110772,2.44,100,84
0.5,0.35,60.0,71.97169595110772,2.44,100,84
0.5,0.375,60.0,71.97169595110772,2.47,100,83
0.5,0.4,60.0,71.97169595110772,2.47,100,83
0.525,0.05,56.99999999999999,68.51861471861471,1.67,100,100
0.525,0.075,57.99999999999999,69.51861471861471,1.7,100,100
0.525,0.1,59.0,71.45979118920295,1.82,100,99
0.525,0.125,60.0,72.45979118920296,1.95,100,97
0.525,0.15,60.0,72.45979118920296,2.07,100,95
0.525,0.175,60.0,72.45979118920296,2.18,100,91
0.525,0.2,59.0,71.45979118920296,2.26,100,91
0.525,0.225,60.0,71.79312452253629,2.34,100,88
0.525,0.25,60.0,71.97169595110772,2.42,100,85
0.525,0.275,60.0,71.97169595110772,2.44,100,84
0.525,0.3,60.0,71.97169595110772,2.44,100,84
0.525,0.325,60.0,71.97169595110772,2.44,100,84
0.525,0.35,60.0,71.97169595110772,2.44,100,84
0.525,0.375,60.0,71.97169595110772,2.47,100,83
0.525,0.4,60.0,71.97169595110772,2.47,100,83
0.55,0.05,56.99999999999999,68.51861471861471,1.67,100,100
0.55,0.075,57.99999999999999,69.51861471861471,1.7,100,100
0.55,0.1,59.0,71.45979118920295,1.82,100,99
0.55,0.125,60.0,72.45979118920296,1.95,100,97
0.55,0.15,60.0,72.45979118920296,2.07,100,95
0.55,0.175,60.0,72.45979118920296,2.18,100,91
0.55,0.2,59.0,71.45979118920296,2.26,100,90
0.55,0.225,60.0,71.79312452253627,2.34,100,87
0.55,0.25,60.0,71.97169595110772,2.42,100,84
0.55,0.275,60.0,71.97169595110772,2.44,100,83
0.55,0.3,60.0,71.97169595110772,2.44,100,83
0.55,0.325,60.0,71.97169595110772,2.44,100,83
0.55,0.35,60.0,71.97169595110772,2.44,100,83
0.55,0.375,60.0,71.97169595110772,2.47,100,82
0.55,0.4,60.0,71.97169595110772,2.47,100,82
0.575,0.05,56.99999999999999,68.51861471861471,1.67,100,100
0.575,0.075,57.99999999999999,69.51861471861471,1.7,100,100
0.575,0.1,59.0,71.45979118920295,1.82,100,99
0.575,0.125,60.0,72.45979118920296,1.95,100,97
0.575,0.15,60.0,72.45979118920296,2.07,100,95
0.575,0.175,60.0,72.45979118920296,2.18,100,91
0.575,0.2,59.0,71.45979118920296,2.26,100,90
0.575,0.225,60.0,71.79312452253627,2.34,100,87
0.575,0.25,60.0,71.97169595110772,2.42,100,84
0.575,0.275,60.0,71.97169595110772,2.44,100,83
0.575,0.3,60.0,71.97169595110772,2.44,100,83
0.575,0.325,60.0,71.97169595110772,2.44,100,83
0.575,0.35,60.0,71.97169595110772,2.44,100,83
0.575,0.375,60.0,71.97169595110772,2.47,100,82
0.575,0.4,60.0,71.97169595110772,2.47,100,82
0.6,0.05,56.99999999999999,68.51861471861471,1.67,100,100
0.6,0.075,57.99999999999999,69.51861471861471,1.7,100,100
0.6,0.1,59.0,71.45979118920295,1.83,100,99
0.6,0.125,60.0,72.45979118920296,1.97,100,97
0.6,0.15,60.0,72.45979118920296,2.11,100,95
0.6,0.175,60.0,72.45979118920296,2.23,100,91
0.6,0.2,59.0,71.45979118920296,2.33,100,90
0.6,0.225,60.0,71.79312452253627,2.41,100,87
0.6,0.25,60.0,71.97169595110772,2.49,100,84
0.6,0.275,60.0,71.97169595110772,2.51,100,83
0.6,0.3,60.0,71.97169595110772,2.51,100,83
0.6,0.325,60.0,71.97169595110772,2.51,100,83
0.6,0.35,60.0,71.97169595110772,2.51,100,83
0.6,0.375,60.0,71.97169595110772,2.54,100,82
0.6,0.4,60.0,71.97169595110772,2.54,100,82
0.625,0.05,56.99999999999999,68.51861471861471,1.67,100,100
0.625,0.075,57.99999999999999,69.51861471861471,1.7,100,100
0.625,0.1,59.0,71.45979118920296,1.84,100,98
0.625,0.125,60.0,72.45979118920296,2.0,100,94
0.625,0.15,60.0,72.45979118920295,2.17,100,90
0.625,0.175,60.0,72.45979118920296,2.3,100,85
0.625,0.2,59.0,71.45979118920295,2.43,100,82
0.625,0.225,60.0,71.79312452253629,2.52,100,77
0.625,0.25,60.0,71.97169595110772,2.61,100,73
0.625,0.275,60.0,71.97169595110772,2.63,100,72
0.625,0.3,60.0,71.97169595110772,2.63,100,72
0.625,0.325,60.0,71.97169595110772,2.64,100,71
0.625,0.35,60.0,71.97169595110772,2.64,100,71
0.625,0.375,60.0,71.97169595110772,2.67,100,70
0.625,0.4,60.0,71.97169595110772,2.67,100,70
0.65,0.05,56.00000000000001,67.51861471861471,1.84,100,100
0.65,0.075,56.99999999999999,68.51861471861471,1.88,100,100
0.65,0.1,57.99999999999999,70.45979118920296,2.03,100,98
0.65,0.125,59.0,71.45979118920296,2.19,100,94
0.65,0.15,60.0,72.45979118920296,2.41,100,88
0.65,0.175,60.0,72.45979118920295,2.54,100,83
0.65,0.2,59.0,71.45979118920295,2.67,100,80
0.65,0.225,60.0,71.79312452253629,2.76,100,75
0.65,0.25,60.0,71.9716959511077,2.85,100,71
0.65,0.275,60.0,71.9716959511077,2.87,100,70
0.65,0.3,60.0,71.9716959511077,2.87,100,70
0.65,0.325,60.0,71.97169595110772,2.88,100,69
0.65,0.35,60.0,71.97169595110772,2.88,100,69
0.65,0.375,60.0,71.97169595110772,2.91,100,68
0.65,0.4,60.0,71.97169595110772,2.91,100,68
0.675,0.05,56.00000000000001,67.51861471861471,1.85,100,100
0.675,0.075,56.99999999999999,68.51861471861471,1.91,100,100
0.675,0.1,59.0,71.45979118920296,2.13,100,98
0.675,0.125,61.0,73.45979118920295,2.47,100,92
0.675,0.15,62.0,74.45979118920295,2.76,100,83
0.675,0.175,62.0,74.45979118920295,3.0,100,75
0.675,0.2,61.0,73.45979118920295,3.17,100,71
0.675,0.225,62.0,73.79312452253627,3.33,100,66
0.675,0.25,62.0,73.97169595110772,3.42,100,62
0.675,0.275,62.0,73.97169595110772,3.46,100,60
0.675,0.3,62.0,73.97169595110772,3.46,100,60
0.675,0.325,62.0,73.97169595110772,3.47,100,59
0.675,0.35,62.0,73.97169595110772,3.47,100,59
0.675,0.375,62.0,73.97169595110772,3.5,100,58
0.675,0.4,62.0,73.97169595110772,3.51,100,58
0.7,0.05,56.00000000000001,67.51861471861471,1.85,100,100
0.7,0.075,56.99999999999999,68.51861471861471,1.91,100,100
0.7,0.1,59.0,71.45979118920296,2.13,100,98
0.7,0.125,61.0,73.45979118920295,2.47,100,92
0.7,0.15,62.0,74.45979118920295,2.76,100,83
0.7,0.175,62.0,74.45979118920295,3.0,100,75
0.7,0.2,61.0,73.45979118920295,3.17,100,71
0.7,0.225,62.0,73.79312452253627,3.33,100,66
0.7,0.25,62.0,73.97169595110772,3.42,100,62
0.7,0.275,62.0,73.97169595110772,3.46,100,60
0.7,0.3,62.0,73.97169595110772,3.46,100,60
0.7,0.325,62.0,73.97169595110772,3.47,100,59
0.7,0.35,62.0,73.97169595110772,3.47,100,59
0.7,0.375,62.0,73.97169595110772,3.5,100,58
0.7,0.4,62.0,73.97169595110772,3.51,100,58
0.725,0.05,56.00000000000001,67.51861471861471,1.85,100,100
0.725,0.075,56.99999999999999,68.51861471861471,1.91,100,100
0.725,0.1,59.0,71.45979118920296,2.13,100,98
0.725,0.125,61.0,73.45979118920295,2.5,100,92
0.725,0.15,63.0,75.45979118920295,2.84,100,83
0.725,0.175,63.0,75.45979118920295,3.11,100,75
0.725,0.2,62.0,74.45979118920295,3.28,100,71
0.725,0.225,63.0,74.79312452253627,3.44,100,66
0.725,0.25,63.0,74.97169595110772,3.53,100,62
0.725,0.275,63.0,74.97169595110772,3.58,100,60
0.725,0.3,63.0,74.97169595110772,3.58,100,60
0.725,0.325,63.0,74.97169595110772,3.59,100,59
0.725,0.35,63.0,74.97169595110772,3.59,100,59
0.725,0.375,63.0,74.97169595110772,3.62,100,58
0.725,0.4,63.0,74.97169595110772,3.63,100,58
0.75,0.05,56.00000000000001,67.51861471861471,2.0,100,100
0.75,0.075,56.99999999999999,68.51861471861471,2.08,100,100
0.75,0.1,59.0,71.45979118920296,2.34,100,98
0.75,0.125,61.0,73.45979118920295,2.82,100,88
0.75,0.15,63.0,75.45979118920295,3.18,100,75
0.75,0.175,63.0,75.45979118920295,3.5,100,61
0.75,0.2,62.0,74.45979118920295,3.71,100,56
0.75,0.225,63.0,74.79312452253627,3.89,100,48
0.75,0.25,63.0,74.97169595110772,4.0,100,43
0.75,0.275,63.0,74.97169595110772,4.07,100,39
0.75,0.3,63.0,74.97169595110772,4.07,100,38
