size,subset,has_margin,has_answer_stable,tune_f1,tune_calls,eval_f1,eval_em,eval_calls,eval_triggered,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,diff_f1_vs_famA,ci_famA_lo,ci_famA_hi,diff_f1_vs_k3,ci_k3_lo,ci_k3_hi
5,calibrated_logit_margin+answer_stable+calibrated_conf+top_score_z_intra+gap,1,1,74.9716959511077,4.08,69.08014670514669,57.99999999999999,3.89,156,1.0415750915750914,-0.45435744810744805,2.5733531746031746,1.3533333333333333,2.271428571428571,0.615595238095238,4.360873015873016,3.892368742368742,1.8296901709401707,6.091607142857143
3,answer_stable+overlap_signal+gap,0,1,76.9716959511077,4.14,69.08014670514669,58.333333333333336,4.036666666666667,138,1.0415750915750916,-0.46373015873015855,2.702380952380952,1.5,2.271428571428571,0.8888888888888888,4.011349206349206,3.8923687423687423,1.8234798534798535,6.120702075702076
3,answer_stable+overlap_signal+top_score_z_intra,0,1,75.9716959511077,4.19,69.08014670514669,58.333333333333336,4.113333333333333,124,1.0415750915750916,-0.46373015873015855,2.702380952380952,1.5766666666666667,2.271428571428571,0.8888888888888888,4.011349206349206,3.8923687423687423,1.8234798534798535,6.120702075702076
4,answer_stable+overlap_signal+top_score_z_intra+gap,0,1,76.9716959511077,4.27,69.08014670514669,58.333333333333336,4.156666666666666,119,1.0415750915750916,-0.46373015873015855,2.702380952380952,1.62,2.271428571428571,0.8888888888888888,4.011349206349206,3.8923687423687423,1.8234798534798535,6.120702075702076
3,calibrated_logit_margin+answer_stable+overlap_signal,1,1,75.9716959511077,3.91,69.06427368927368,57.99999999999999,3.8833333333333333,179,1.0257020757020756,-0.575473137973138,2.7190476190476187,1.3466666666666667,2.2555555555555555,0.8222222222222224,4.089722222222222,3.876495726495727,1.6828601953601954,6.055650183150182
4,calibrated_logit_margin+calibrated_conf+overlap_signal+gap,1,0,75.9716959511077,4.3,68.91348003848003,57.666666666666664,4.136666666666667,125,0.8749084249084247,-0.8904014041514042,2.7426587301587295,1.6,2.104761904761905,0.711111111111111,3.8588888888888886,3.7257020757020762,1.7034325396825394,6.050563186813187
4,calibrated_logit_margin+calibrated_conf+overlap_signal+top_score_z_intra,1,0,74.9716959511077,4.32,68.91348003848003,57.666666666666664,4.203333333333333,113,0.8749084249084247,-0.8904014041514042,2.7426587301587295,1.6666666666666667,2.104761904761905,0.711111111111111,3.8588888888888886,3.7257020757020762,1.7034325396825394,6.050563186813187
5,calibrated_logit_margin+calibrated_conf+overlap_signal+top_score_z_intra+gap,1,0,75.9716959511077,4.4,68.91348003848003,57.666666666666664,4.236666666666666,109,0.8749084249084247,-0.8904014041514042,2.7426587301587295,1.7,2.104761904761905,0.711111111111111,3.8588888888888886,3.7257020757020762,1.7034325396825394,6.050563186813187
3,answer_stable+calibrated_conf+overlap_signal,0,1,76.45979118920295,3.32,68.89760702260702,57.99999999999999,3.54,207,0.859035409035409,-0.6443574481074481,2.3692857142857138,1.0033333333333334,2.0888888888888886,0.8222222222222223,3.633611111111111,3.7098290598290595,1.716607142857143,5.946309523809524
3,calibrated_logit_margin+overlap_signal+gap,1,0,75.9716959511077,4.3,68.85792448292449,57.666666666666664,4.113333333333333,127,0.8193528693528693,-0.9402976190476191,2.6992460317460307,1.5766666666666667,2.049206349206349,0.6666666666666667,3.7985317460317463,3.67014652014652,1.647872405372405,5.995007631257631
