size,n_groups,max_group_size,formula,has_margin,has_answer_stable,tune_f1,tune_calls,eval_f1,eval_em,eval_calls,eval_triggered,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,diff_f1_vs_famA,ci_famA_lo,ci_famA_hi,diff_f1_vs_k3,ci_k3_lo,ci_k3_hi
5,3,2,as&tzi|gap|mrg&ovl,1,1,56.38201341142518,2.0,51.04372941872941,40.666666666666664,1.7866666666666666,267,-5.719597069597071,-9.017553418803418,-2.6591544566544565,-0.7266666666666667,-8.22912087912088,-11.89478937728938,-4.670787545787547,-7.61019536019536,-11.103171550671552,-4.4592460317460345
6,3,3,as&cnf&tzi|gap|mrg&ovl,1,1,56.38201341142518,2.0,51.04372941872941,40.666666666666664,1.7866666666666666,267,-5.719597069597071,-9.017553418803418,-2.6591544566544565,-0.7266666666666667,-8.22912087912088,-11.89478937728938,-4.670787545787547,-7.61019536019536,-11.103171550671552,-4.4592460317460345
2,2,1,gap|tzi,0,0,56.38201341142518,2.64,51.00563418063418,40.0,2.28,204,-5.757692307692308,-9.206011904761905,-2.333313492063492,-0.23333333333333334,-8.267216117216119,-11.842321428571427,-4.615192307692308,-7.648290598290599,-11.35061813186813,-4.191984126984128
5,3,2,as&ovl|cnf&tzi|gap,0,1,56.38201341142518,1.89,50.97706275206275,40.33333333333333,1.72,282,-5.786263736263737,-9.042771672771673,-2.69630341880342,-0.7933333333333333,-8.295787545787544,-11.847269536019537,-4.542255799755799,-7.676862026862027,-11.162298534798536,-4.170096153846154
5,3,2,as&ovl|gap|mrg&tzi,1,1,56.38201341142518,1.89,50.97706275206275,40.33333333333333,1.7266666666666666,282,-5.786263736263737,-9.042771672771673,-2.69630341880342,-0.7866666666666666,-8.295787545787544,-11.847269536019537,-4.542255799755799,-7.676862026862027,-11.162298534798536,-4.170096153846154
6,3,3,as&ovl|cnf&mrg&tzi|gap,1,1,56.38201341142518,1.89,50.97706275206275,40.33333333333333,1.7266666666666666,282,-5.786263736263737,-9.042771672771673,-2.69630341880342,-0.7866666666666666,-8.295787545787544,-11.847269536019537,-4.542255799755799,-7.676862026862027,-11.162298534798536,-4.170096153846154
3,2,2,as&ovl|gap,0,1,56.38201341142518,1.92,50.97706275206275,40.33333333333333,1.73,282,-5.786263736263737,-9.042771672771673,-2.69630341880342,-0.7833333333333333,-8.295787545787544,-11.847269536019537,-4.542255799755799,-7.676862026862027,-11.162298534798536,-4.170096153846154
5,3,3,as&mrg&ovl|gap|tzi,1,1,56.38201341142518,2.11,50.97706275206275,40.33333333333333,1.8866666666666667,259,-5.786263736263737,-9.218267704517704,-2.611178266178266,-0.6266666666666667,-8.295787545787544,-11.952553418803419,-4.650654761904762,-7.676862026862027,-11.292216117216118,-4.216729242979243
5,3,3,cnf&mrg&ovl|gap|tzi,1,0,56.38201341142518,2.02,50.94849132349132,40.666666666666664,1.8133333333333332,262,-5.8148351648351655,-9.284598595848594,-2.7182615995115995,-0.7,-8.324358974358976,-12.213525641025642,-4.664861111111111,-7.705433455433456,-11.252641941391941,-4.364761904761904
5,4,2,as&cnf|gap|mrg|ovl,1,1,55.38201341142518,1.39,50.94372941872941,40.33333333333333,1.3466666666666667,297,-5.819597069597069,-9.03916056166056,-2.781997863247864,-1.1666666666666667,-8.329120879120879,-11.853724053724052,-4.731031746031747,-7.71019536019536,-11.282123015873015,-4.326256105006106
4,4,1,gap|mrg|ovl|tzi,1,0,55.38201341142518,1.39,50.94372941872941,40.33333333333333,1.3966666666666667,292,-5.819597069597069,-9.329015567765568,-2.7068131868131866,-1.1166666666666667,-8.329120879120879,-11.942541208791207,-4.659603174603174,-7.71019536019536,-11.239804639804639,-4.311077533577533
4,3,2,as&cnf|gap|ovl,0,1,55.38201341142518,1.5,50.94372941872941,40.33333333333333,1.4266666666666667,296,-5.819597069597069,-9.03916056166056,-2.781997863247864,-1.0866666666666667,-8.329120879120879,-11.853724053724052,-4.731031746031747,-7.71019536019536,-11.282123015873015,-4.326256105006106
6,4,2,as&cnf|gap|mrg&tzi|ovl,1,1,55.38201341142518,1.5,50.94372941872941,40.33333333333333,1.4266666666666667,296,-5.819597069597069,-9.03916056166056,-2.781997863247864,-1.0866666666666667,-8.329120879120879,-11.853724053724052,-4.731031746031747,-7.71019536019536,-11.282123015873015,-4.326256105006106
5,4,2,cnf&mrg|gap|ovl|tzi,1,0,55.38201341142518,1.48,50.94372941872941,40.33333333333333,1.46,291,-5.819597069597069,-9.329015567765568,-2.7068131868131866,-1.0533333333333332,-8.329120879120879,-11.942541208791207,-4.659603174603174,-7.71019536019536,-11.239804639804639,-4.311077533577533
