size,n_groups,max_group_size,formula,has_margin,has_answer_stable,tune_f1,tune_calls,eval_f1,eval_em,eval_calls,eval_triggered,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,diff_f1_vs_famA,ci_famA_lo,ci_famA_hi,diff_f1_vs_k3,ci_k3_lo,ci_k3_hi
5,4,2,as|cnf&ovl|gap|mrg,1,1,17.555555555555554,1.58,20.81068376068376,19.666666666666664,1.5633333333333332,300,-17.48888888888889,-22.155555555555555,-13.48777777777778,-1.0066666666666666,-27.164550264550268,-32.40900793650794,-21.98744708994709,-22.168253968253964,-27.13388888888889,-17.45515873015873
3,3,1,as|gap|mrg,1,1,17.555555555555554,1.58,20.81068376068376,19.666666666666664,1.57,299,-17.48888888888889,-22.155555555555555,-13.48777777777778,-1.0,-27.164550264550268,-32.40900793650794,-21.98744708994709,-22.168253968253964,-27.13388888888889,-17.45515873015873
5,4,2,as|cnf&tzi|gap|mrg,1,1,17.555555555555554,1.58,20.81068376068376,19.666666666666664,1.57,299,-17.48888888888889,-22.155555555555555,-13.48777777777778,-1.0,-27.164550264550268,-32.40900793650794,-21.98744708994709,-22.168253968253964,-27.13388888888889,-17.45515873015873
6,4,3,as|cnf&ovl&tzi|gap|mrg,1,1,17.555555555555554,1.58,20.81068376068376,19.666666666666664,1.57,299,-17.48888888888889,-22.155555555555555,-13.48777777777778,-1.0,-27.164550264550268,-32.40900793650794,-21.98744708994709,-22.168253968253964,-27.13388888888889,-17.45515873015873
6,4,2,as|cnf&tzi|gap|mrg&ovl,1,1,19.555555555555554,1.69,20.81068376068376,19.666666666666664,1.6533333333333333,299,-17.48888888888889,-22.155555555555555,-13.48777777777778,-0.9166666666666666,-27.164550264550268,-32.40900793650794,-21.98744708994709,-22.168253968253964,-27.13388888888889,-17.45515873015873
4,3,2,as|gap|mrg&ovl,1,1,19.555555555555554,1.69,20.81068376068376,19.666666666666664,1.6566666666666667,299,-17.48888888888889,-22.155555555555555,-13.48777777777778,-0.9133333333333333,-27.164550264550268,-32.40900793650794,-21.98744708994709,-22.168253968253964,-27.13388888888889,-17.45515873015873
6,4,2,as|cnf&ovl|gap|mrg&tzi,1,1,19.555555555555554,1.71,20.81068376068376,19.666666666666664,1.66,300,-17.48888888888889,-22.155555555555555,-13.48777777777778,-0.91,-27.164550264550268,-32.40900793650794,-21.98744708994709,-22.168253968253964,-27.13388888888889,-17.45515873015873
4,3,2,as|cnf&mrg|gap,1,1,19.555555555555554,1.76,20.81068376068376,19.666666666666664,1.6766666666666667,299,-17.48888888888889,-22.155555555555555,-13.48777777777778,-0.8933333333333333,-27.164550264550268,-32.40900793650794,-21.98744708994709,-22.168253968253964,-27.13388888888889,-17.45515873015873
4,3,2,as|gap|mrg&tzi,1,1,19.555555555555554,1.75,20.81068376068376,19.666666666666664,1.6833333333333333,299,-17.48888888888889,-22.155555555555555,-13.48777777777778,-0.8866666666666667,-27.164550264550268,-32.40900793650794,-21.98744708994709,-22.168253968253964,-27.13388888888889,-17.45515873015873
4,3,2,as|cnf&ovl|gap,0,1,19.555555555555554,1.76,20.81068376068376,19.666666666666664,1.6933333333333334,300,-17.48888888888889,-22.155555555555555,-13.48777777777778,-0.8766666666666667,-27.164550264550268,-32.40900793650794,-21.98744708994709,-22.168253968253964,-27.13388888888889,-17.45515873015873
6,4,2,as&ovl|cnf&mrg|gap|tzi,1,1,16.305555555555557,1.67,20.81068376068376,20.0,1.6933333333333334,296,-17.48888888888889,-22.657222222222224,-12.69888888888889,-0.8766666666666667,-27.164550264550268,-32.47694444444444,-22.08492724867725,-22.168253968253964,-27.089206349206346,-17.199206349206346
